time,animal,pellets,motorTurns,battery,delay,protocol
946684835,495,01,00,04,01,aclimatacion
1679325042,495,01,00,00,01,aclimatacion
1679332267,495,02,00,04,01,aclimatacion
1679332779,495,03,00,04,01,aclimatacion
1679332790,495,04,00,04,01,aclimatacion
1679332797,495,05,00,04,01,aclimatacion
1679332807,495,06,00,04,01,aclimatacion
1679333158,495,07,00,04,01,aclimatacion
1679335864,495,08,00,04,01,aclimatacion
1679340188,495,09,00,04,01,aclimatacion
1679347910,495,10,00,04,01,aclimatacion
1679356740,495,11,00,04,01,aclimatacion
1679400265,495,12,00,04,01,aclimatacion
1679415014,495,13,00,04,01,aclimatacion
1679415174,495,14,00,04,01,aclimatacion
1679415182,495,15,00,04,01,aclimatacion
1679415185,495,16,00,04,01,aclimatacion
1679415198,495,17,00,04,01,aclimatacion
1679415535,495,18,00,04,01,aclimatacion
1679415538,495,19,00,04,01,aclimatacion
1679421973,495,20,00,04,01,aclimatacion
1679422006,495,21,00,04,01,aclimatacion
1679422011,495,22,00,04,01,aclimatacion
1679423165,495,23,00,04,01,aclimatacion
1679431210,495,24,00,04,01,aclimatacion
1679444157,495,25,00,04,01,aclimatacion
1679444167,495,26,00,04,01,aclimatacion
1679444940,495,27,00,04,01,aclimatacion
1679453367,495,28,00,04,01,aclimatacion
1679453401,495,29,00,04,01,aclimatacion
1679459794,495,30,00,04,01,aclimatacion
1679459824,495,31,00,04,01,aclimatacion
1679460511,495,32,00,04,01,aclimatacion
1679460538,495,33,00,04,01,aclimatacion
1679466218,495,34,00,04,01,aclimatacion
1679466255,495,35,00,04,01,aclimatacion
1679466284,495,36,00,04,01,aclimatacion
1679472320,495,37,00,04,01,aclimatacion
1679472354,495,38,00,04,01,aclimatacion
1679477780,495,39,00,04,01,aclimatacion
1679477810,495,40,00,04,01,aclimatacion
1679477878,495,41,00,04,01,aclimatacion
1679483574,495,42,00,04,01,aclimatacion
1679483580,495,43,00,04,01,aclimatacion
1679483609,495,44,00,04,01,aclimatacion
1679483639,495,45,00,04,01,aclimatacion
1679486007,495,46,00,04,01,aclimatacion
1679486674,495,47,00,04,01,aclimatacion
1679486696,495,48,00,04,01,aclimatacion
1679486725,495,49,00,04,01,aclimatacion
1679487560,495,50,00,04,01,aclimatacion
946684801,495,01,00,00,01,aclimatacion
1679487746,495,01,00,00,01,aclimatacion
1679487767,495,02,00,04,01,aclimatacion
1679493967,495,03,00,04,01,aclimatacion
1679495123,495,04,00,04,01,aclimatacion
1679495928,495,05,00,04,01,aclimatacion
1679498004,495,06,00,04,01,aclimatacion
1679498026,495,07,00,04,01,aclimatacion
1679498059,495,08,00,04,01,aclimatacion
1679499635,495,09,00,04,01,aclimatacion
1679500246,495,10,00,04,01,aclimatacion
1679504213,495,11,00,04,01,aclimatacion
1679504919,495,12,00,04,01,aclimatacion
1679504952,495,13,00,04,01,aclimatacion
1679506252,495,14,00,04,01,aclimatacion
1679506280,495,15,00,04,01,aclimatacion
1679512302,495,16,00,04,01,aclimatacion
1679512305,495,17,00,04,01,aclimatacion
1679512307,495,18,00,04,01,aclimatacion
1679512334,495,19,00,04,01,aclimatacion
1679514978,495,20,00,04,01,aclimatacion
1679515005,495,21,00,04,01,aclimatacion
1679515653,495,22,00,04,01,aclimatacion
1679515821,495,23,00,04,01,aclimatacion
1679515851,495,24,00,04,01,aclimatacion
1679518210,495,25,00,04,01,aclimatacion
1679518239,495,26,00,04,01,aclimatacion
1679518337,495,27,00,04,01,aclimatacion
1679518955,495,28,00,04,01,aclimatacion
1679523173,495,29,00,04,01,aclimatacion
1679523209,495,30,00,04,01,aclimatacion
1679523794,495,31,00,04,01,aclimatacion
1679524129,495,32,00,04,01,aclimatacion
1679525803,495,33,00,04,01,aclimatacion
1679526767,495,34,00,04,01,aclimatacion
1679526768,495,35,00,04,01,aclimatacion
1679533996,495,36,00,04,01,aclimatacion
1679534015,495,37,00,04,01,aclimatacion
1679541808,495,38,00,04,01,aclimatacion
1679541896,495,39,00,04,01,aclimatacion
1679542123,495,40,00,04,01,aclimatacion
1679542405,495,41,00,04,01,aclimatacion
1679550567,495,42,00,04,01,aclimatacion
1679550597,495,43,00,04,01,aclimatacion
1679550722,495,44,00,04,01,aclimatacion
1679555047,495,45,00,04,01,aclimatacion
1679556588,495,46,00,04,01,aclimatacion
1679556625,495,47,00,04,01,aclimatacion
1679559757,495,48,00,04,01,aclimatacion
1679559847,495,49,00,04,01,aclimatacion
1679561360,495,50,00,04,01,aclimatacion
1679561387,495,51,00,04,01,aclimatacion
1679562492,495,52,00,04,01,aclimatacion
1679568167,495,53,00,04,01,aclimatacion
1679568481,495,54,00,04,01,aclimatacion
1679573113,495,55,00,04,01,aclimatacion
1679574641,495,56,00,04,01,aclimatacion
1679574714,495,57,00,04,01,aclimatacion
1679574716,495,58,00,04,01,aclimatacion
1679574728,495,59,00,04,01,aclimatacion
1679575901,495,60,00,04,01,aclimatacion
1679576971,495,61,00,04,01,aclimatacion
1679577610,495,62,00,04,01,aclimatacion
1679578979,495,63,00,04,01,aclimatacion
1679580024,495,64,00,04,01,aclimatacion
1679580051,495,65,00,04,01,aclimatacion
1679581437,495,66,00,04,01,aclimatacion
1679581670,495,67,00,04,01,aclimatacion
1679581896,495,68,00,04,01,aclimatacion
1679582671,495,69,00,04,01,aclimatacion
1679583037,495,70,00,04,01,aclimatacion
1679584125,495,71,00,04,01,aclimatacion
1679584155,495,72,00,04,01,aclimatacion
1679585633,495,73,00,04,01,aclimatacion
1679585663,495,74,00,04,01,aclimatacion
1679586176,495,75,00,04,01,aclimatacion
1679587196,495,76,00,04,01,aclimatacion
1679587228,495,77,00,04,01,aclimatacion
1679588129,495,78,00,04,01,aclimatacion
1679588155,495,79,00,04,01,aclimatacion
1679588802,495,80,00,04,01,aclimatacion
1679588830,495,81,00,04,01,aclimatacion
1679589465,495,82,00,04,01,aclimatacion
1679590599,495,83,00,04,01,aclimatacion
1679590626,495,84,00,04,01,aclimatacion
1679591554,495,85,00,04,01,aclimatacion
